name,ir_summary,occasions_summary
florist's chrysanthemum,"Chrysanthemums symbolize lasting friendship, loyalty, and devotion. Depending on the color, they can represent love, cheerfulness, recovery, or even sorrow and mourning.","Available year-round, these are great for birthdays or long-distance relationships. They are also used in weddings and as dramatic displays for funerals."
forget-me-not,Forget-me-nots symbolize true love and the desire to be remembered. They represent lasting memories and a deep connection to the past.,"These are thoughtful gifts for anniversaries, long-distance relationships, memorial tributes, Alzheimer's awareness, and family reunions."
Frangipani,"Frangipanis represent strength to withstand challenges, spiritual devotion, and intense love. They also symbolize welcoming guests and connecting with spirits.","They are ideal for weddings, cheering up friends, and honoring the spirits of loved ones."
Freesia,"Freesias symbolize friendship, trust, and innocence. Their uplifting scent also represents thoughtfulness and a sweet, feel-good nature.","These are perfect for celebrating accomplishments, welcoming a new baby, or as a happy spring gift for friends."
French lavender,"Lavender flowers signify purity, serenity, and devotion. They are also associated with grace, calmness, and quietude.",Give lavender to express that you consider someone a pure and virtuous person or to wish them inner peace.
Gardenia,"Gardenias represent secret or untold love and devotion. The white blooms specifically symbolize purity, trust, hope, and clarity.","They are wonderful for celebrating new beginnings like weddings, births, and anniversaries, or expressing a private affection."
Geranium,"Geraniums possess varied meanings including gentility, ingenuity, and true friendship. They can also symbolize unexpected or expected meetings.","These vibrant flowers make great summer gifts for Mother's Day, birthdays, or garden parties."
Gerbera,"Gerberas celebrate a happy, energetic life. Specific colors convey different messages: white for purity, orange for sunshine, red for deep love, pink for admiration, and yellow for cheerfulness.","Perfect for any occasion, they offer comfort during stress or can be a gift to celebrate major life changes and new babies."
Gladiolus,"The gladiolus symbolizes strength, integrity, and victory. It is also a flower of honor, faithfulness, and remembrance.",They are common gifts for August birthdays or to declare love and remember a friend.
Heather,"Heather represents independence and good fortune. Specifically, white symbolizes protection and dreams, while purple signifies beauty and admiration.","Use white heather for weddings and home decor to attract luck, and pink or purple to express love and respect."
honeysuckle,Honeysuckle represents the bonds of love and the sweetness of connection between people and the natural world.,It is a beautiful way to honor a June birthday or celebrate the joy of growth and connection.
Hortensia,"Hydrangeas symbolize gratitude, sincerity, and heartfelt emotions. They can also represent abundance, prosperity, and grace, though they may sometimes signify vanity or a lack of interest in romantic proposals. Because of these diverse meanings, it is often helpful to pair them with other flowers.","These flowers are perfect for weddings, engagements, or celebrating a 4th wedding anniversary. They can also be used to ask for forgiveness or to send a message of declining a suitor."
Hyacinth,"Hyacinths can represent playfulness, sport, and sincerity. Depending on the variety, they may also symbolize rashness or jealousy, while purple varieties can express sorrow for a wrong committed.",Give hyacinths as a welcome gift to symbolize a fresh start or well wishes. They also serve as beautiful spring centerpieces for dining tables.
Iris,"The iris is a versatile flower that symbolizes royalty, faith, wisdom, hope, and valor. Its meanings can vary across different cultures and people.","Irises are great for housewarmings, christenings, or as teacher appreciation gifts. Their hearty nature also makes them wonderful gifts for a variety of general occasions."
Jasmine,"Jasmine is a flower associated with sweet love, beauty, and sensuality. It also symbolizes purity, devotion, grace, and elegance, and can represent good luck or appreciation in various cultures.","Perfect for romantic gestures like anniversaries and Valentine's Day, jasmine is also suitable for weddings, birthdays, religious ceremonies, and sympathy. It works well for both formal and casual events."
Larkspur,"Larkspur symbolizes reaching for goals, expanding opportunities, and an open heart. It can represent levity, lightness, and strong attachment, or even a desire for laughter.","These flowers are suitable for July birthdays, housewarmings, and family celebrations. They are also an uplifting way to encourage someone facing a challenge like a job interview."
Lilac,"Lilacs often represent the joy of youth and the expression of love or affection. White varieties specifically symbolize innocence, while the flower can also convey confidence or remind one of a first love.","Lilacs are wonderful for spring, Mother's Day, and Easter. They also serve as meaningful gifts for graduates or as a sweet way to reconnect with an old flame."
Lily,"Lilies are powerful symbols of royalty, rebirth, and purity. They also represent motherhood, fertility, passion, and the beauty of youth.","While often used as a funeral flower, lilies are also perfect for 30th anniversaries or to express love, care, and devotion."
Lily of the Valley,"Lily of the valley symbolizes the return of happiness, love, and completeness. It is also associated with purity, sincerity, motherhood, and good luck.","This flower is a thoughtful choice for weddings, anniversaries, and Mother's Day. It also serves as a lovely gift for May birthdays, housewarmings, or wishing someone a speedy recovery."
Lisianthus,"Lisianthus symbolizes the joining of two people in a lifelong bond and expressing gratitude. It can also represent charm, charisma, and traditional values.","Elegant for use in boutonnieres and corsages, lisianthus is also a lovely way to thank a friend or brighten someone's spirits."
Lotus,"The lotus exudes beauty, grace, and purity. Depending on the color, it can symbolize devotion, spiritual ascension, enlightenment, or rebirth, and is deeply connected to religious traditions.","Used in weddings to symbolize love and new beginnings, the lotus is also a meaningful sympathy gift representing hope and the journey of the soul."
