name,meaning,Special Occasions,scientific_name
Buttercup,"the buttercup flower is more than a kid’s flower and has symbolism of its own. under normal circumstances, the buttercup means: humility neatness childishness “your charm dazzles me.”",buttercups are appropriate for informal entertaining and gift giving. consider buttercups in combination with other wildflowers for these special occasions. welcome home celebrations housewarmings friendship bouquets family reunions the buttercup flower’s message is: the buttercup flower’s message is typically one of joy and cheerfulness and is especially appropriate for those who love wildflowers.the buttercup can be seen as a symbol of goodwill towards the recipient. buttercups can be tucked into vases with daisies and other wildflowers to add bright color to the bouquet.,Ranunculus
Cactus,"the elusive and surprising cactus flower means lust and sexual attraction between two people the power and loneliness of the desert enduring all things, no matter how painful or difficult protection from danger and threats warmth and care, especially from a mother to a child chastity and abstinence from physical contact","don’t be afraid to give a blooming cactus as a gift for your child’s birthday, as long as they can restrain the urge to feel the spines inspiring a friend who is facing their own metaphorical or literal journey into the desert celebrating a recovery from addiction or physical injury reminding yourself to thrive in your environment instead of just surviving. the cactus flower’s message is… the cactus flower’s message is don’t let the world bring you down. everything you need is inside you, and you too can produce beautiful things in the middle of an empty desert.",
Calla Lily Meaning.Txt,"this flower is not technically part of the real lily family. instead, it’s a different type of flower with a bloom similar to other true lilies. the most common meanings of this bloom include magnificent and overwhelming beauty, in the classic victorian language of the flowers and the ancient greek tradition resurrection and rebirth, since the plant returns each year after the winter faith and purity, especially in the christian religions overcoming challenges, since the cut flowers can start regrowing in a vase and survive frosts the liveliness and innocence of youth.","calla lilies make appropriate gifts for many religious holidays due to the associations with the virgin mary and jesus. aside from those occasions, consider giving the gift of the flowers for the birth of a new baby or a child’s birthday. you can also try celebrating a loved one’s success at work with a bunch of orange or yellow blooms. the calla lily flower’s message is… the calla lily flower’s message is to focus on the beauty around you, and remember that it will return even if it disappears for a season. hold onto your innocence and grace as you move through the world and conquer your challenges.",
Camellia,the camellia flower speaks to the heart and expresses positive feelings. it’s most common meanings are: desire or passion refinement perfection & excellence faithfulness & longevity,,
Carnation,"what a carnation means depends on the circumstances and the color symbolism of the bloom, but there are some common meanings that apply to all carnations. love fascination distinction","carnations are appropriate for nearly any occasion, as they are a symbol of both love and distinction. carnation in the school colors are often presented to graduates or recipients of academic and sports awards. pink carnations are popular for mother’s day while the green carnation is prized on st. patrick’s day. the carnation flower’s message is… the carnation flower’s message is as individual as the recipient is. while they all symbolize love, distinction and fascination, you can tailor your message by the color you choose.",Dianthus
Chrysanthemum,"as a bloom of great importance, the chrysanthemum symbolizes concepts like: lasting friendship and non-romantic affection support from your family and loved ones cheerfulness and good spirits, including cheering up a sad person rest and recovery after a long trial or challenge enduring life and rebirth, especially the birth of a child loyalty and devotion, both romantic and platonic",,Chrysanthemum
Columbine,"what does the columbine flower mean? not surprisingly, the columbine flower means different things to different cultures. the ancient greeks and romans attributed this plant to aphrodite, the goddess of love. other meanings include: the fool – the columbine flower is thought to resemble the hat of a court jester three columbine flowers in one composition symbolizes faith, hope and love the victorian meaning of columbine is: resolved to win",,Aquilegia
Crocus,the crocus is a symbol of . . . cheerfulness gladness youthfulness mirthfulness glee the crocus flower is primarily associated with the mirthfulness and glee associated with youth. this flower has an uplifting and cheerful affect.,the crocus is the perfect flower for spring bouquets and is appropriate as a gift between friends or to celebrate birthdays and other special occasions. it is an appropriate flower for young girls. the crocus flower’s message is: the crocus flower’s message is one of joy and cheerfulness that celebrates the return of spring.,
Daffodil,"while the daffodil’s primary symbolism is that of new beginnings, rebirth and the coming of spring, it has many others. some of the most common meanings for the daffodil flower are: creativity inspiration renewal and vitality awareness and inner reflection memory forgiveness",,Narcissus
Dahlia,"the common dahlia symbolizes staying graceful under pressure, especially in challenging situations drawing upon inner strength to succeed traveling and making a major life change in a positive way standing out from the crowd and following your own unique path staying kind despite being tested by certain life events finding a balance between adventure and relaxation commitment to another person or a certain ideal warning someone about a potential betrayal. of course, the meaning of an individual dahlia bloom is also dependent on its color.",,
Daisy,"at first, it can seem that there can be as many meanings for daisies as there are species of daisies. however, the most generally accepted meanings are: innocence, especially with white daisies with yellow or pale centers. purity – also shown by daisies that are as white as possible. new beginnings, which is why they are often found in bouquets for new mothers or as gifts for children. true love – because each daisy flower is really two flowers blended together in harmony. that the sender can keep a secret. keeping a secret is one way a person can exhibit that they truly love another. entomological meaning of the daisy flower the modern english word daisy comes from an old english word that’s impossible to spell and next to impossible to pronounce. the important thing is that the old english word meant “day’s eye” because daisy flowers only opened during the daytime. “daisy” also became a slang word for something of excellent quality, as shown in books printed in the early 1800s. over the generations, “that’s a daisy” became changed to “that’s a doozy.” symbolism of the daisy flower in modern paganism, daisies symbolize the sun just because they seem to appear like stars or suns. in victorian times, different species of daisies symbolized different things: michaelmas daisy (aster amellus) symbolizes a farewell or a departure. gerber daises (those in the gerbera genera) symbolize cheerfulness. they were often paired with ferns, which symbolize sincerity. english daisy (bellis perennis) symbolizes innocence. they were often paired with primroses, which is a symbol for childhood and/or moss, which symbolized mother love. the daisy flower facts a single daisy flower is actually made up of two separate flowers. the center petals are one flower surrounded by the “rays” of another flower. daisies grow all year round. daisies are naturally resistant to many plant diseases and pests, which makes them perfect flowers for new gardeners. unfortunately, the english daisy (bellis perennis) is considered a stubborn weed in north american lawns. meaningful botanical characteristics of the daisy flower for centuries, children and really bored child minders have used daisies in order to make daisy chains. daisy leaves are edible. some people add them to their salads. wild daisy tea is said to be good for ailments of the throat, for putting on open wounds and as a “blood purifier” (whatever that means) but there aren’t any clinical studies to back up these traditional claims. people who are allergic to ragweed are very likely to also be allergic to daisies or any products made from daisies. the daisy flowers message is… the daisy’s message is, ultimately, one of hope and renewal. in sending daisies, the sender hopes the viewer will see the world as they once did as a child. just be sure not to send daisies to anyone with ragweed allergies.",,Leucanthemum
Dandelion,"the common and humble dandelion has a surprising amount of different meanings. the dandelion means: healing from emotional pain and physical injury alike intelligence, especially in an emotional and spiritual sense the warmth and power of the rising sun surviving through all challenges and difficulties long lasting happiness and youthful joy getting your wish fulfilled since the dandelion can thrive in difficult conditions, it is no wonder that people say the flower symbolizes the ability to rise above life’s challenges.","gather up a small informal bouquet of dandelions from your yard for occasions like: celebrating the return of summer overcoming an obstacle, especially by using your innate intelligence trying to connect with the sun and its power celebrating any event that brings joy and the energy of youth into your life the dandelion flower’s message is… the dandelion flower’s message is do not give up, even if those around you keep trying to get rid of you. stick it out and remember the cheerfulness of a sunny summer’s day when things seem bleak or dark.",
Delphinium.Txt,"this member of the buttercup family doesn’t sport the same cheery yellow color, but it’s still important in mythology and modern symbolism alike. the delphinium means reaching for your goals and striving achieve it all expanding your options and attracting new opportunities july birthdays protection against dangers, specifically scorpions in ancient lore openness to new emotions and feelings, in a romantic sense enjoying the lighter side of life, even when troubles get you down celebrating practically anything positive.","grab a few dark blue larkspurs when you want to encourage a family member to try their best at a test or job interview. if you know someone with a july birthday, these flowers make the perfect gift since it’s the birth flower of that month. the delphinium flower’s message is… the delphinium flower’s message is protect yourself from the dangers of life so nothing stands in the way of your success.",
Dogwood,"none of the dogwood species currently growing are native to the middle east where christianity first developed. however, the same symbolism is generally applied to all types of dogwoods regardless of native status. this tree means: rebirth and resurrection, particularly through the story of jesus christ christianity as a whole pity and regret over a specific decision or a situation that was beyond your control durability and reliability strength and resilience purity, especially in a religious or spiritual sense a signal of affection to someone who may not reciprocate it many cultures have interacted with tree for medicine or woodworking, yet there is relatively little symbolism related to this tree except for the christian lore regarding it.","dogwood flowers are perfect for: recognizing a religious milestone like first communion, baptism, or confirmation celebrating easter and other christian holidays teaching children about the crucifixion offering your condolences to a family after a death giving to someone that might not return your feelings, especially in cases where roses and other love flowers are too direct the dogwood flower’s message is… after all, i don’t see why i am always asking for private, individual, selfish miracles when every year there are miracles like white dogwood. – anne morrow lindbergh",Cornus
Edelweiss,"the edelweiss is a flower that means notoriety in its complete essence. it’s prized where it naturally grows and is created to be a symbol by its local region because it’s only obtained by a few when it lies waiting in its natural habitat. it, therefore, captivates the symbolic qualities of adventure and great sacrifice.","should the man be brave and stout, an edelweiss might be the right flower to profess his love. this flower can be a great symbol of love when daring men take hold of the mountains and elevate there way through dangers of falling and inclement weather. the lucky women found to be the reason for such an occasion will surely know the honor of the man seeking to impress her. this flower could also have been given to soothe the body of diphtheria or tuberculosis. when taken as a tea, these ailments are given relief and was a gesture of good faith had it been giving to you during sickness. the edelweiss flower’s message is: a plant that is of honorable qualities, the edelweiss, which makes its seeker climb and its lover woo. its nobility is found in its upbringing: rare and where only few can surely get to.",
Eustoma Flower.Txt,the eustoma is a potent symbol with primarily modern meanings. this blossom means a long and happy life contentment and peace with what you already have appreciation for peace and joy in your life heartfelt emotions towards someone else friendliness and congeniality portraying an air of charisma and charm admiration for a supportive or loving friend sweetness and kindness towards others and yourself the desire to be more outgoing.,"grab a small bouquet of eustoma when you’re ready to celebrate the love you have for a friend or as a birth flower. of course, the red and pink varieties also work for deep affection on a romantic level. it’s also a nice gift to give after someone uses their social skills to earn a promotion or get a new job. the eustoma flower’s message is… focus on what you already have that brings you joy. build up your social skills to gain more power in the world around you without taking advantage of others, and create strong bonds with those that you love.",
Frangipani,"a few different cultures have assigned meanings to the frangipani flower, including modern american culture. these meanings include: the strength to withstand tough challenges connecting with spirits and ghosts welcoming guests and inviting them to stay, due to its use in hawaiian leis intense love and a lasting bond between two people immortality and spiritual devotion spread over multiple lifetimes the mayans and other mesoamericans held this flower in very high esteem, as evidenced by the extensive carvings and paintings found that feature the blooms. however, it’s not currently known what exactly the plumeria means to them. the flower is still used today in religious rituals from hindu, buddhist, balinese, and swahili cultures.","give the gift of a fragrant frangipani for: weddings, especially between two very compatible people cheering up a friend after a difficult time honoring the spirits of loved ones reminding yourself of the immortality of the soul the frangipani flower’s message is… the frangipani flower’s message is being delicate and beautiful doesn’t mean you are weak or incapable of rising to meet a challenge.",Plumeria
Freesia,the beautiful freesia has several related meanings. freesia blooms typically mean: innocence thoughtfulness trust friendship sweetness,,
Gardenia,"in victorian times flowers were used to convey messages between people. when a person was unable to outright express their feelings of love for another, it was and still is a common practice to say it with flowers. while any type of flowering plant will do, if you want to express your love and devotion to someone but don’t want your identity to be known, the gardenia is the flower to give as a present. it signifies a secret love or an untold love. gardenias are also given to convey “you’re lovely”. used in this way, the gardenia is a flower that can be given to lovers, friends, and even family. it’s a way of telling them how lovely they are. and because the color of the gardenia is white, it also signifies purity. this flower is a wonderful addition to a wedding bouquet as it fits any color theme and it also brings the message of love and purity. other commonly associated meanings are: trust hope purity clarity dreams intuition renewal alignment friendship innocence protection self-reflection",,
Geranium Flower.Txt,"the geranium flower appears to have some conflicting meanings, which means you must rely on both the circumstances and their color to refine their meaning. some of the most common meanings are: folly or stupidity gentility ingenuity melancholy bridal favor unexpected meeting expected meeting preference true friendship",,
Gerbera,"the latin name for the gerbera daisy is gerbera jamesonii and is part of the large asteraceae family of flowers. 2 these daisies were named after the german botanist and doctor traugott gerber. also known as the transvaal daisy, a scotsman, robert jameson found these beauties growing wild around the dug up gold mines he was in charge of in transvaal, south africa and mr. jameson is credited with also discovering these flowers. symbolism in the gerbera daisy the symbolism of the gebera daisy is the simple beauty of a very happy life. throughout history, the gerbera daisy has symbolized the innocent hearts of children, attributed to the white gerbera, and, happiness and gratefulness for the life you have been given. the meaning is more energized then contentedness or mellowness. it is happiness that bubbles, fizzes and pops with joyous surprises. there is an energetic playfulness to these flowers, which is evident in all their radiant colors. these are not flowers for regrets. these flowers are a celebration of life! gerbera flower color meanings gerberas are available in rich reds, oranges, yellows peaches, creams and white and there a few distinct meanings including: the color meaning for orange is: sunshine of life red means: unconscious in love or fully immersed in love white: is a symbol of purity or innocence, childlike pink: admiration, adoration or high esteem yellow: cheerfulness meaningful botanical characteristics of the gerbera flower this is a herbaceous perennial from south africa which thrives in zones 8-10. gerbera daisies are well known for their ability to remove trichloroethylene, formaldehyde and benzene from the air. gerber daisies are also excellent for helping you to sleep because they continue to release a continuous stream of fresh oxygen through the evening hours, while other flowers slow down their oxygen production, gerberas will lull you right to sleep. one single flower sits atop each sturdy 12 to 18 inch hollow stem with a center disk of similar or contrasting colors. a white variety has a striking dark chocolate brown center. 4)breeding for color variations and forms began in the late 1800’s and from that point, there was no going back. gerbera flower interesting facts gerbera jamesonii is named after two different people from two different centuries: botanist and german doctor traugott gerber from the 18 th century and robert jameson a 19 th century botanist who formed the moodies gold mining and exploration company. on one of his journeys he ended up in south africa on a discovery trip and found the gerbera daisy near a excavated gold mine. out of the thousands of flowers of the world, gerberas are in the top five! gerberas always turn towards the sun. set up a camera for time lapse photography and watch in amazement as they turn to face the sun. is the birth flower for the month of april offer the gerbera flower on these occasions the gerbera would be a great gift for someone embarking on a major change in their life. a bouquet of peach, pink and red gerberas would energize them through the beginning stages of their adventure. a soft pink gerbera would be a perfect gift to welcome a new baby. the gerbera flower’s message is let happiness be your compass!",,
Gladiolus,"the gladiolus flower symbolizes honor and remembrance, but it has other meanings too. it can also symbolize the following: strength of character faithfulness, sincerity and integrity infatuation never giving up",,Gladiolus
Heather,"the heather flower’s meanings goes as far back as celtic and pre-celtic times. but, it has always had a few straightforward meanings including: independence good fortune good luck victorian meanings: purple equals beauty or worthy of admiration white equals luck/protection or fulfillment of a dream",,
Hibiscus,"although specific meanings for the hibiscus differ depending on the culture of the beholder, there are some generalities about what the hibiscus symbolizes. this is considered a very feminine flower and so is usually given or worn by women. in north america especially, a hibiscus means a perfect wife or woman. in victorian times, giving a hibiscus meant that the giver was acknowledging the receiver’s delicate beauty. in china, hibiscuses symbolize the fleeting and beauty of fame or personal glory. it is given to both men and women.",,Hibiscus
Hyacinth,sincerity (blue) victorian meaning is play or sport or engage in sport can also mean rashness (as in the behavior of the god zephyr) jealousy (yellow) purple can mean sorrow for a wrong committed,,Hyacinthus
Hydrangea,"the vigorously growing hydrangea shrub symbolizes diverse meanings including: heartfelt and honest emotions of any kind gratitude and thanksgiving to someone else developing a deeper understanding between two people heartlessness and acting without thinking about the feelings of another frigidity and disinterest in a romantic proposal boasting and bragging about false accomplishments abundance and prosperity grace and beauty, sometimes taken to an extreme of vanity and narcissism the 4th wedding anniversary for a couple with such mixed meanings behind one flower, it is important to pair hydrangeas with other flowers to make sure you get the right meaning across.","try giving the gift of hydrangeas for: weddings, engagements, and other unifying ceremonies sending a message of “no thanks” to a suitor asking someone for forgiveness and reconciliation celebrating your 4th wedding anniversary the hydrangea flower’s message is… being a rare beauty can lead to frigidness unless you express your true emotions. don’t inflate your ego with bragging, and stay humble to become prosperous.",Hydrangea
Iris,the iris means different things to different people and cultures. some of its most common meanings are royalty faith wisdom hope valor,,
Jasmine,"jasmine is a popular flower associated with love and romance. its showy white blooms and heavenly fragrance are ideal for moon gardens where lovers spend time whispering sweet nothings under the stars. as a cut flower, it fills the home with a relaxing scent perfect for drifting off to sleep. some gardeners prefer to plant jasmine outside the bedroom window to allow its fragrance to drift in on the night air. what does the jasmine flower mean? the jasmine flower is associated with love. jasmine also symbolizes beauty and sensuality. in some cultures, jasmine represents appreciation and good luck. when used in religious ceremonies jasmine represents purity. jasmine’s meanings varies depending on the culture and setting.",,Jasminum
Larkspur,love affection strong attachment lightness pure heart sweet disposition desire for laughter,"larkspur flowers are appropriate for many special occasions from birthdays to housewarmings. these flowers are often combined with other flowers in floral displays, making them suitable for family celebrations and other joyous occasions. the larkspur flower’s message is… the larkspur flower’s message is uplifting and joyous as these striking flowers add depth and dimension to floral displays.",Delphinium
Lavender,"lavender flowers are spike-like flowers composed of multiple, small purple flowers or “florets” on long narrow stems. they have been valued for centuries for their physical beauty, soothing fragrance, healing properties, and multitude of uses. in addition to these characteristics, lavender flowers also possess a unique meaning. what does the lavender flower mean? like all flowers, lavender flowers have common meanings. here is a list of some of the most common meanings for lavender flowers: purity silence devotion caution serenity grace calmness",,Lavandula
Lilac,"the lilac flower has many meanings, but most are related to expressing love or affection: in victorian times, giving a lilac meant that that the giver is trying to remind the receiver of a first love. lilacs can also express confidence that the giver has for the receiver. this makes lilacs a good gift for graduates. a sprig of lilacs, especially white lilacs, symbolizes innocence.",,Syringa
Lilly,"unlike most other flowers, the perennial lily never truly goes dormant. the strength and beauty of this international flower has cemented its place in the cultures of the world. with such an elegant look, it’s no wonder the flower means royalty, rebirth, and purity. explore this potent flower symbol to enrich your own life. what does the lily flower mean? the lily flower, in all its various forms, is commonly considered to mean: royalty and regal bearing motherhood and fertility purity and the beauty of youth passion and drive renewal and rebirth",,
Lisianthus Meaning.Txt,"lisianthus has plenty of different meanings to explore, such as being the birth flower of the sagittarius astrological sign the joining of two people for a lifelong bond expressing gratitude for a gift or favor from a friend showing someone how much appreciate them, especially for their social skills or warm personality trying to convince someone you’re charismatic and charming traditional values and old fashioned morals.","few flowers look as elegant as the lisianthus when used to make boutonnieres and corsages. try a bouquet of the blooms for thanking a friend instead of sending the usual card, or keep a few around to raise your spirits. the lisianthus flower’s message is… don’t forget to stay grateful for what you do have, and remember to express that thankfulness to those that help you. look for beauty everywhere you go to find the best in each day.",
Lotus,"the lotus is a delicate flower with many layered petals arrayed around a central core. a few different plants from separate families all make up this category, but they all have similar meanings when it comes to symbolism. the plants also look alike and share other characteristics like medicinal and edible value. in general, all the lotus flowers exude beauty and grace. most varieties grow in the water of ponds and creeks, lending them an otherworldly quality that makes them mystical enough for religious ceremonies. in the victorian flower language, the lotus represented eloquence. types of lotus blossoms flowers commonly called lotus around the world include: the egyptian lotus flower: with the scientific name of nymphaea caerula, the egyptian blue lotus is actually more accurately described as a water lily. these blooms sport light blue or purple petals and played an important role in spiritual events. the japanese lotus flower: also known as the sacred lotus in china, bali, and other tropical countries in asia, this plant’s scientific name is nelumbo nucifera. it is the flower you see being used as the seat of buddha and many hindu deities too. the american lotus flower: a bright yellow lotus, the nelumbo lutea, is native to north america and was used as a food crop by many native american tribes. it is not as well known symbolically as the other varieties, but it is still a beautiful addition to a water feature. other lotuses: most white and red lotus flower varieties also fall into the nymphaea water lily family. this means they held the most power in egyptian and other ancient asian cultures. lotus flower color meaning the color of the lotus certainly affects its general meaning as well. the white lotus flower and pink lotus flower from the nelumbo family are seen as meaning purity and devotion. more passionately colored red, purple, and blue lotus flower blooms can take on a spiritual meaning of ascension, enlightenment, or rebirth. a green lotus flower is a beautiful gift for anyone trying to improve their life and start good habits. spiritual and religious lotus flower symbolism aside from the victorian and contemporary meanings for the lotus, there is a wealth of symbolism tying these flowers to hinduism, buddhism, and the ancient egyptian’s religious practices. the ancient egyptians used the plant extensively as a symbol in the paintings and carvings left on the walls of temples and tombs. scholars believe the egyptians viewed the lotus as a symbol of rebirth because it appeared to sink at night and rise again in the morning. it is now known the plant simply loses old blooms and adds new ones on a daily cycle, but it is still a potent reminder of reincarnation and the mysteries of the afterlife. the priests and other religious leaders also brewed the flowers to make a tea with sedative and mild psychotropic effects, which heightened their sense for ritual work. the lotus meaning in hinduism is a little different. as ideas were exchanged with buddhists for thousands of years, hindu religious leaders began to use the flower as a symbol of peace and eternity. white lotus flowers are usually seen under the feet of deities like lakshmi, ganesha, and saraswati. brahma, the ultimate creator, emerges from a lotus as well. this sense of purity arises from the flower’s growing habit of rooting in mud and pushing up through the water to bloom. the flower’s meaning in buddhism is similar, but still unique again from the other meanings. the buddhist lotus represents: patience purity mysticism direct spiritual contact emptiness from desire victory over attachments enlightenment and the bodhi state love and compassion for all things self-awareness faithfulness during spiritual development rising out of suffering these deep spiritual meanings gave rise to a way of sitting known as the lotus position. the legs are crossed and tucked in a way that makes the bent knees look like the petals of a lotus. it is an important position in both buddhist meditation and hindu yoga practices. the soles of the feet are tucked away, which makes it a respectful position to sit in when visiting a temple where exposing the bottom of your feet is considered rude. another example is the use of the lotus in mandalas , which are spiritual and artistic representations of divine energies and meditation aids in buddhist traditions. edible and medicinal uses of the lotus flower aside from decorating thrones and acting as seats for enlightened beings, both main types of lotus are surprisingly useful for edible and medicinal purposes. the blue lotus family, or nymphaea, is useful for making a sedative tea that helps you beat insomnia without feeling drowsy the next day. the sacred lotus, or nelumbo family, is also grown for edible seeds and roots. the american version of the flower also primarily found use as a source of food. also, the lotus can be used by men 40-50 years old for the treatment of erectile dysfunction. according to researchers in the us and asia, lotus oil has a positive effect on the blood pressure in a man’s penis if you rub this oil into the penis shortly before intercourse. but the best and most effective means to improve the potency is still viagra. sildenafil (viagra) was synthesized by a group of pharmaceutical chemists working at pfizer’s sandwich, kent, research facility in england and patented in 1996. later on, a cheap generic viagra appeared on sale . today anyone can buy viagra online or in any available pharmacy with a prescription. the use of lotus for this purpose is a thing of the past. growing lotus flowers if you have a deep fountain, barely flowing creek, or healthy pond, you can try growing your own lotuses. pick from the various colors and bloom types of both true lotus and the similarly named water lilies at a reputable water plant nursery, then root them in pots or at the bottom of a muddy pond. make sure there is at least four inches of water over the top of the pot or mud and not much more than ten inches. you can plant them in the spring or fall, and there is no need for fertilizer or pruning. the plant will start growing vigorously when temperatures warm up to about 60 degrees f, then go dormant as winter arrives again. lotus flower tattoo meaning getting a lotus flower tattoo is a beautiful way to show your dedication to a hindu or buddhist faith. it is also a reminder to stay humble and focus on developing inner peace. you can also develop more balance in your life with a tattoo of this flower because the eight petals represent all eight parts of a spiritual path. a colorful or pure white lotus sends a message of gracefulness and love to everyone that sees it.",,Nelumbo
Magnolia,"magnolia meanings depend on the color of the flower and the immediate culture of the person giving and receiving the flowers. usually, magnolias are given as presents from men to women as if the men are saying, “you are worthy of a beautiful magnolia.” a magnolia often symbolizes yin, or the feminine side of life. white magnolias symbolize purity and dignity.",,Magnolia
Marigold,"aside from being an important part of any organic garden as a pest deterrent, the marigold has loftier meanings like: despair and grief over the loss of love the beauty and warmth of the rising sun winning the affections of someone through hard work creativity and the drive to succeed desire for wealth cruelty and coldness due to jealousy sacred offerings to the gods remembering and celebrating the dead promoting cheer and good relations in a relationship while the marigold has picked up a few negative connotations over the years, most of what it means remains positive in contemporary times.","grab a pot or vase of marigolds for: summer birthdays memorials for lost loved ones religious ceremonies expressing your jealousy when trapped in a love triangle encouraging someone else to reach their potential the marigold flower’s message is… even the humblest creations contain their own special beauty to share with the world. just like the sun returns in full each summer and hides away in the winter, you must find your own balance between shining and keeping your light under wraps.",Tagetes
