name,scientific_name,color,planttype,maintenance,meaning,Special Occasions
Morning Glory,ipomoea,orange,"Perennials, Annuals",low,"ipomoea comes from the latin prefix ip meaning worm and homolas which means like. so this beautiful flower was name after it’s growth habit which is worm like. symbolism of the morning glory the morning glory has a number of meanings. the chinese folklore of this flower symbolizes that lovers may only meet on one special day out of the year. the story behind this is that two young people fell deeply in love neglecting all of their responsibilities. as more and more chores were ignored the heavens started to rumble with the gods dissatisfaction. so, they decreed that the lovers could meet just one day out of the year. morning glories also mean unrequited love. they can be found in victorian literature and on victorian gravestones to signify a love that never ended. conversely, it can mean that a potential love was never reciprocated. christians believed that the morning glory related directly to the finite nature of life on earth, each single flower representing one life and life being represented by the daylight hours of the sun, withering and finally dying by nightfall. morning glory flower color meanings morning glory flowers can be found in blue, purple, red, white and yellow and variations of these colors. some can be eight inches across; these are actually the familiar fragrant moon flowers found in many gardens. the color meaning of white symbolizes purity in the the morning glory while red symbolizes a strong heart. meaningful botanical characteristics of the morning glory flower morning glory seeds are used in chinese medicine to treat disorders of the lungs, kidneys and large intestine. they have a purgative effect and can reduce or clear phlem in the lungs. they can act as a diuretic for the kidneys which reduces swelling in the body. (2)if morning glory seeds are eaten a person could have a hallucinogenic episode similar to a lsd experience. the active ingredients in morning glory seeds are lysergic acid amide, a close relative to lsd. if necessary, the morning glory can be used to induce labor during pregnancy. the morning glory seeds were used in mexican culture in religious ceremonies to induce a dream like state in order to better commune with the gods. morning glories can be toxic and will cause nerve damage in larger doses than recommended. the flower and it’s stems, leaves and seeds must be used with great caution. the morning glory root was used by native americans to make a tea which was especially effective for coughs because of it’s ability to remove phlem. the leaves were powdered and dried and made into a tea to treat stomach problems and headaches. (3) morning glory wine can be made from the flower petals if they are soaked in purified cold water for about two weeks. the morning glory flower interesting facts one variety, the ipomoea quamoclit has cypress like leaves that are finely cut instead of the typical heart shaped leaves found on most ipomoeas the ipomoea lobata variety has red elongated flowers – that are a closed tubular form, not funnel or start shaped. there are about five to a stem that start out pure red then progressively get lighter and larger as you get closer to the bottom of the stem. the leaves are the heart shaped leaves of many morning glories the sweet potato is in the ipomoea family of plants offer the morning glory on these occasions i would offer the morning glory as a symbol to a person who needs some tenacity to go after their dreams. morning glories take each twist and turn in the road (or on the trellis!) in their stride and just keep on going. this is the key to their success. morning glories are also the birth flower for those born in september. i would offer them for september birthdays either as a potted plant or maybe a diary with an embossed design of a morning glory on it. the morning glory flower’s message tenacity and tenderness in all things, be gentle but strong in your endeavors with other people, animals and nature. above all hold fast to your goals.","Morning glories are often associated with September and are considered a birth month flower for those born in this month."
Morning Glory,ipomoea,pink,"Perennials, Annuals",low,"ipomoea comes from the latin prefix ip meaning worm and homolas which means like. so this beautiful flower was name after it’s growth habit which is worm like. symbolism of the morning glory the morning glory has a number of meanings. the chinese folklore of this flower symbolizes that lovers may only meet on one special day out of the year. the story behind this is that two young people fell deeply in love neglecting all of their responsibilities. as more and more chores were ignored the heavens started to rumble with the gods dissatisfaction. so, they decreed that the lovers could meet just one day out of the year. morning glories also mean unrequited love. they can be found in victorian literature and on victorian gravestones to signify a love that never ended. conversely, it can mean that a potential love was never reciprocated. christians believed that the morning glory related directly to the finite nature of life on earth, each single flower representing one life and life being represented by the daylight hours of the sun, withering and finally dying by nightfall. morning glory flower color meanings morning glory flowers can be found in blue, purple, red, white and yellow and variations of these colors. some can be eight inches across; these are actually the familiar fragrant moon flowers found in many gardens. the color meaning of white symbolizes purity in the the morning glory while red symbolizes a strong heart. meaningful botanical characteristics of the morning glory flower morning glory seeds are used in chinese medicine to treat disorders of the lungs, kidneys and large intestine. they have a purgative effect and can reduce or clear phlem in the lungs. they can act as a diuretic for the kidneys which reduces swelling in the body. (2)if morning glory seeds are eaten a person could have a hallucinogenic episode similar to a lsd experience. the active ingredients in morning glory seeds are lysergic acid amide, a close relative to lsd. if necessary, the morning glory can be used to induce labor during pregnancy. the morning glory seeds were used in mexican culture in religious ceremonies to induce a dream like state in order to better commune with the gods. morning glories can be toxic and will cause nerve damage in larger doses than recommended. the flower and it’s stems, leaves and seeds must be used with great caution. the morning glory root was used by native americans to make a tea which was especially effective for coughs because of it’s ability to remove phlem. the leaves were powdered and dried and made into a tea to treat stomach problems and headaches. (3) morning glory wine can be made from the flower petals if they are soaked in purified cold water for about two weeks. the morning glory flower interesting facts one variety, the ipomoea quamoclit has cypress like leaves that are finely cut instead of the typical heart shaped leaves found on most ipomoeas the ipomoea lobata variety has red elongated flowers – that are a closed tubular form, not funnel or start shaped. there are about five to a stem that start out pure red then progressively get lighter and larger as you get closer to the bottom of the stem. the leaves are the heart shaped leaves of many morning glories the sweet potato is in the ipomoea family of plants offer the morning glory on these occasions i would offer the morning glory as a symbol to a person who needs some tenacity to go after their dreams. morning glories take each twist and turn in the road (or on the trellis!) in their stride and just keep on going. this is the key to their success. morning glories are also the birth flower for those born in september. i would offer them for september birthdays either as a potted plant or maybe a diary with an embossed design of a morning glory on it. the morning glory flower’s message tenacity and tenderness in all things, be gentle but strong in your endeavors with other people, animals and nature. above all hold fast to your goals.","Morning glories are often associated with September and are considered a birth month flower for those born in this month."
Morning Glory,ipomoea,white,"Perennials, Annuals",low,"ipomoea comes from the latin prefix ip meaning worm and homolas which means like. so this beautiful flower was name after it’s growth habit which is worm like. symbolism of the morning glory the morning glory has a number of meanings. the chinese folklore of this flower symbolizes that lovers may only meet on one special day out of the year. the story behind this is that two young people fell deeply in love neglecting all of their responsibilities. as more and more chores were ignored the heavens started to rumble with the gods dissatisfaction. so, they decreed that the lovers could meet just one day out of the year. morning glories also mean unrequited love. they can be found in victorian literature and on victorian gravestones to signify a love that never ended. conversely, it can mean that a potential love was never reciprocated. christians believed that the morning glory related directly to the finite nature of life on earth, each single flower representing one life and life being represented by the daylight hours of the sun, withering and finally dying by nightfall. morning glory flower color meanings morning glory flowers can be found in blue, purple, red, white and yellow and variations of these colors. some can be eight inches across; these are actually the familiar fragrant moon flowers found in many gardens. the color meaning of white symbolizes purity in the the morning glory while red symbolizes a strong heart. meaningful botanical characteristics of the morning glory flower morning glory seeds are used in chinese medicine to treat disorders of the lungs, kidneys and large intestine. they have a purgative effect and can reduce or clear phlem in the lungs. they can act as a diuretic for the kidneys which reduces swelling in the body. (2)if morning glory seeds are eaten a person could have a hallucinogenic episode similar to a lsd experience. the active ingredients in morning glory seeds are lysergic acid amide, a close relative to lsd. if necessary, the morning glory can be used to induce labor during pregnancy. the morning glory seeds were used in mexican culture in religious ceremonies to induce a dream like state in order to better commune with the gods. morning glories can be toxic and will cause nerve damage in larger doses than recommended. the flower and it’s stems, leaves and seeds must be used with great caution. the morning glory root was used by native americans to make a tea which was especially effective for coughs because of it’s ability to remove phlem. the leaves were powdered and dried and made into a tea to treat stomach problems and headaches. (3) morning glory wine can be made from the flower petals if they are soaked in purified cold water for about two weeks. the morning glory flower interesting facts one variety, the ipomoea quamoclit has cypress like leaves that are finely cut instead of the typical heart shaped leaves found on most ipomoeas the ipomoea lobata variety has red elongated flowers – that are a closed tubular form, not funnel or start shaped. there are about five to a stem that start out pure red then progressively get lighter and larger as you get closer to the bottom of the stem. the leaves are the heart shaped leaves of many morning glories the sweet potato is in the ipomoea family of plants offer the morning glory on these occasions i would offer the morning glory as a symbol to a person who needs some tenacity to go after their dreams. morning glories take each twist and turn in the road (or on the trellis!) in their stride and just keep on going. this is the key to their success. morning glories are also the birth flower for those born in september. i would offer them for september birthdays either as a potted plant or maybe a diary with an embossed design of a morning glory on it. the morning glory flower’s message tenacity and tenderness in all things, be gentle but strong in your endeavors with other people, animals and nature. above all hold fast to your goals.","Morning glories are often associated with September and are considered a birth month flower for those born in this month."
mountain peony,paeonia,pink,"Perennials, Shrubs",low,"Bashful; Happy life; Shame; the peony is mainly known for representing ideas and values like: honor, especially for people who are bringing honor to their entire family through success wealth and riches romance and romantic love, with a particular focus on love between two strangers beauty in all forms bashfulness and shame","Romance and admiration. Perfect for anniversaries."
mountain peony,paeonia,purple,"Perennials, Shrubs",low,"Bashful; Happy life; Shame; the peony is mainly known for representing ideas and values like: honor, especially for people who are bringing honor to their entire family through success wealth and riches romance and romantic love, with a particular focus on love between two strangers beauty in all forms bashfulness and shame","Anniversaries: Lush blooms that speak straight to the heart."
mountain peony,paeonia,red,"Perennials, Shrubs",low,"Bashful; Happy life; Shame; the peony is mainly known for representing ideas and values like: honor, especially for people who are bringing honor to their entire family through success wealth and riches romance and romantic love, with a particular focus on love between two strangers beauty in all forms bashfulness and shame","Passion and respect. Bold and powerful."
mountain peony,paeonia,white,"Perennials, Shrubs",low,"Bashful; Happy life; Shame; the peony is mainly known for representing ideas and values like: honor, especially for people who are bringing honor to their entire family through success wealth and riches romance and romantic love, with a particular focus on love between two strangers beauty in all forms bashfulness and shame","Purity and new beginnings. A wedding favourite."
mountain peony,paeonia,yellow,"Perennials, Shrubs",low,"Bashful; Happy life; Shame; the peony is mainly known for representing ideas and values like: honor, especially for people who are bringing honor to their entire family through success wealth and riches romance and romantic love, with a particular focus on love between two strangers beauty in all forms bashfulness and shame","Friendship and good fortune. Joyful birthday blooms."
Myrtle,Myrtus,white,"Shrubs, Trees",low,the myrtle flower meaning is similar across culture cultures and across the centuries. it typically means: good luck in love in marriage chastity marital fidelity good luck prosperity,"myrtle flowers are appropriate for weddings, communions and christenings as they are a symbol for both fidelity and love and for chastity. when added to other flowers they can be used for nearly any occasion to wish the recipient luck and prosperity. the myrtle flower’s message is… the myrtle flower’s message is primarily one of love, making it a favorite for bridal bouquets and wedding arrangements. although they are not the official birth flower of any particular month, they are also suitable or birthday bouquets."
Orchid,Orchidaceae,white,"Perennials",medium,"White orchids are often associated with purity, innocence and elegance. Their pristine petals evoke a sense of simple elegance. In some cultures, white orchids symbolize spirituality and new beginnings, which is why they are often used in wedding bouquets and decorations. In others, white is also associated with funerals, so be sure to research the specific cultural implications before giving this gift to someone outside of your culture or religion. the orchid has been held in high regard since ancient times. it symbolizes love beauty fertility refinement thoughtfulness charm","Perfect for first-time plant owners, new homes, thank you gestures and everyday celebrations. They suit almost any interior and carry that quiet, polished elegance."
Orchid,Orchidaceae,yellow,"Perennials",medium,"Yellow orchids radiate warmth and positivity, symbolizing friendship and joy. These cheerful blooms are the perfect way to show appreciation for friends or for adding a cheerful vibe to indoor decor. In ancient Chinese culture, yellow orchids were believed to bring good fortune and happiness to households, making them a great companion to the money tree plant. the orchid has been held in high regard since ancient times. it symbolizes love beauty fertility refinement thoughtfulness charm","Beautiful for anniversaries, congratulations or formal occasions. Their neat stems make them ideal for elegant homes and those with a classical taste."
Orchid,Orchidaceae,pink,"Perennials",medium,"Pink orchids embody grace, femininity, and affection, making them perfect gifts at baby showers and great decorations for events supporting causes such as breast cancer awareness. Pink orchids are often associated with romantic gestures and expressions of love, so they are a popular choice for gifts to convey appreciation and admiration. the orchid has been held in high regard since ancient times. it symbolizes love beauty fertility refinement thoughtfulness charm","Beautiful for anniversaries, congratulations or formal occasions. Their neat stems make them ideal for elegant homes and those with a classical taste."
Orchid,Orchidaceae,purple,"Perennials",medium,"Purple orchids exude an air of luxury, opulence, and regality. Their rich tones are reminiscent of nobility and luxury. In Victorian times, purple orchids were considered rare and were highly sought after. Purple or violet is also associated with higher consciousness in some traditions. Want to vibrate higher? A lavender watercolor orchid may be the perfect plant for you! the orchid has been held in high regard since ancient times. it symbolizes love beauty fertility refinement thoughtfulness charm","Ideal for milestone birthdays, bold personalities and statement home decorating."
Orchid,Orchidaceae,red,"Perennials",medium,"Like red roses, red orchids (or any plant) can symbolize passion and romantic love. Red is great for a gift for a loved one, making it popular on Valentine's Day as well as the winter holidays. Red is also a popular color for those celebrating the Chinese New Year. During this time, people wear red and give each other red envelopes having cash or lottery tickets for good luck and fortune in the upcoming year. the orchid has been held in high regard since ancient times. it symbolizes love beauty fertility refinement thoughtfulness charm","Beautiful for anniversaries, congratulations or formal occasions. Their neat stems make them ideal for elegant homes and those with a classical taste."
Orchid,Orchidaceae,blue,"Perennials",medium,"Blue stands for tranquility and calmness and is associated with water and emotions. Like purple, blue is a royal color, (especially royal blue!) Instead of diamonds, royal members often wore sapphire engagement rings. While blue orchids do not occur naturally, we do offer blue watercolor orchids. These plants are perfect for Hanukkah, as winter decor, or as a gift for anyone who loves blue. the orchid has been held in high regard since ancient times. it symbolizes love beauty fertility refinement thoughtfulness charm","Ideal for milestone birthdays, bold personalities and statement home decorating."
Orchid,Orchidaceae,orange,"Perennials",medium,"Orange orchids exude energy, enthusiasm, and creativity. Their vibrant shades mirror the warmth of the sun as it sets in the evening sky or the glow of a fireplace in winter. Orange orchids are great gifts for those needing some encouragement and warmth. They look great in rooms with blue or green decor and can add a touch of autumn to Thanksgiving dinner tables. the orchid has been held in high regard since ancient times. it symbolizes love beauty fertility refinement thoughtfulness charm","Beautiful for anniversaries, congratulations or formal occasions. Their neat stems make them ideal for elegant homes and those with a classical taste."
Orchid,Orchidaceae,green,"Perennials",medium,"Green orchids, with their connection to nature, symbolize renewal, growth, and good health. They evoke feelings of harmony and balance, reflecting the rejuvenating power of the natural world. the orchid has been held in high regard since ancient times. it symbolizes love beauty fertility refinement thoughtfulness charm","Green watercolor orchids are great for the winter holidays, but they are particularly popular as St. Patrick’s Day decorations."
pelargonium,pelargonium,orange,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity,"makes a great summer floral gift. Whether for Mother’s Day, a birthday, Sunday brunch or garden party gift – its vibrant colours and varied flower shapes make the geranium the ultimate symbol of summer that is sure to put a smile on the face of the recipient. "
pelargonium,pelargonium,pink,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity,"makes a great summer floral gift. Whether for Mother’s Day, a birthday, Sunday brunch or garden party gift – its vibrant colours and varied flower shapes make the geranium the ultimate symbol of summer that is sure to put a smile on the face of the recipient. "
pelargonium,pelargonium,purple,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity,"makes a great summer floral gift. Whether for Mother’s Day, a birthday, Sunday brunch or garden party gift – its vibrant colours and varied flower shapes make the geranium the ultimate symbol of summer that is sure to put a smile on the face of the recipient. "
pelargonium,pelargonium,red,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity,"makes a great summer floral gift. Whether for Mother’s Day, a birthday, Sunday brunch or garden party gift – its vibrant colours and varied flower shapes make the geranium the ultimate symbol of summer that is sure to put a smile on the face of the recipient. "
pelargonium,pelargonium,white,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity,"makes a great summer floral gift. Whether for Mother’s Day, a birthday, Sunday brunch or garden party gift – its vibrant colours and varied flower shapes make the geranium the ultimate symbol of summer that is sure to put a smile on the face of the recipient. "
Periwinkle,Vinca,pink,"Perennials, Shrubs",low,"the common periwinkle evokes feelings of blossoming friendship that is still in its first stages reminiscing about pleasant memories shared with a friend or relative reaching your full potential and achieving your dreams existence throughout eternity, and extending your time with what you love everlasting love the purity and strength of the virgin mary.","Here are a few perfect occasions: To express support after a loss or during a tough time To celebrate a long-lasting friendship or relationship As part of a memory bouquet, honouring someone who’s passed To encourage someone who feels overlooked or in need of reassurance To remind a loved one that they’re always in your thoughts"
Periwinkle,Vinca,purple,"Perennials, Shrubs",low,"the common periwinkle evokes feelings of blossoming friendship that is still in its first stages reminiscing about pleasant memories shared with a friend or relative reaching your full potential and achieving your dreams existence throughout eternity, and extending your time with what you love everlasting love the purity and strength of the virgin mary.","Here are a few perfect occasions: To express support after a loss or during a tough time To celebrate a long-lasting friendship or relationship As part of a memory bouquet, honouring someone who’s passed To encourage someone who feels overlooked or in need of reassurance To remind a loved one that they’re always in your thoughts"
Periwinkle,Vinca,red,"Perennials, Shrubs",low,"the common periwinkle evokes feelings of blossoming friendship that is still in its first stages reminiscing about pleasant memories shared with a friend or relative reaching your full potential and achieving your dreams existence throughout eternity, and extending your time with what you love everlasting love the purity and strength of the virgin mary.","Here are a few perfect occasions: To express support after a loss or during a tough time To celebrate a long-lasting friendship or relationship As part of a memory bouquet, honouring someone who’s passed To encourage someone who feels overlooked or in need of reassurance To remind a loved one that they’re always in your thoughts"
