name,planttype,color,maintenance
Campanula (Bellflower),"Annuals, Perennials","Depending on the species, Campanula produces white, blue, purple, pink or lilac bells.",low
Canna (Canna Lily),"Bulbs, Perennials","The flowers come in various colors, including red, orange, pink, yellow, cream and white.",medium
Celosia (Celosia),"Annuals, Perennials","The flowers can be purple, red, orange, pink, gold, yellow and white.",low
Centaurea (Cornflower; Bachelor's Button; Basket Flower),"Annuals, Perennials","The flowers are traditionally blue in color but are also available in purple, pink, yellow and white.",low
Chrysanthemum (Mum),Perennials,"The flowers come in a rainbow of colors, but the most common are red, yellow, white and purple.",medium
Cistus (Rock Rose),"Perennials, Shrubs","The flowers come in shades of purple, pink and white.",low
Clarkia (Godetia),Annuals,"These flowers come in a range of colors including red, purple, pink, orange and white.",low
Claytonia (Spring Beauty),"Annuals, Bulbs, Perennials","The flowers come in shades of white, pink, purple and red.",low
Clematis (Travellers Joy; Old Man's Beard),"Climbers, Perennials, Shrubs",These flowers offer a wide range of different colors.,low
Clerodendrum (Glorybower; Bagﬂower),"Climbers, Shrubs, Trees","The flowers come in various colors including red, purple, orange, pink, yellow, cream and white.",medium
Convallaria (Lily of the Valley),"Bulbs, Perennials","Convallaria blooms are usually white, but sometimes pink.",low
Coreopsis (Tickseed; Calliopsis),"Annuals, Perennials","Although usually yellow in color, these flowers come in different colors including red, orange, pink, maroon,  lavender. Bi-colored flowers are also possible.",low
Cosmos (Cosmos),Annuals,"These flowers come in amazing variety of bright colors, from pink, orange and scarlet to yellow and white.",low
Crocosmia (Montbretia),"Bulbs, Perennials","These flowers are usually in shades of red and orange, but can also be yellow.",low
Crocus (Crocus),Bulbs,"These flowers are white, cream, yellow, blue and purple, and there are even striped varieties.",low
Cyclamen (Sowbread),"Bulbs, Perennials","The flowers are usually white, red, rose, purple or pink.",low
Cymbidium (Cymbidium),Perennials,"Cymbidium comes in various colors such as white, green, yellow, brown, orange, pink and red.",low
Dahlia (Dahlia),"Bulbs, Perennials","Dahlias bloom in all colors, except blue.",medium
Datura (Devil's Trumpet),"Annuals, Perennials","The flowers are usually white, but may be yellow, pink and purple.",low
Delosperma (Ice Plant),"Cactus - Succulents, Perennials","Delosperma comes in many colors including red, purple, orange, pink, yellow and white.",low
Delphinium (Larkspur),Perennials,"Delphiniums come in several colors, including blue, red, pink, white, violet, and yellow, but blue is the most common.",medium
Deutzia (Deutzia),Shrubs,"Most species are white, but some are pink or red.",low
Dianthus (Carnation; Pink; Sweet William),"Annuals, Perennials, Shrubs","The flowers come in shades of red, pink, purple and white or combinations of these colours. Cultivated species are available in a wider range of colors.",low
Diascia (Twinspur),"Annuals, Perennials","The flowers come in shades of pink, purple, orange, and white, each with a contrasting yellow throat.",low
Dicentra (Bleeding Heart),Perennials,"The flowers are usually red, pink and white.",low
Dietes (Dietes),Perennials,"The flowers are white to creamy yellow in color, with brown, yellow and purple markings on the tepals.",low
Digitalis (Foxglove),Perennials,"These flowers appear in shades of white, yellow, pink, red and purple.",low
Dracula (Monkey Orchid),Perennials,"These flowers come in various colors, such as red, purple, lavender, yellow and white. They range from nearly black to white.",medium
Dryas (Mountain Avens; Holtasoley),"Perennials, Shrubs","These flowers are usually white or cream, with yellow centre.",medium
Echeveria (Hen and Chicks),Cactus - Succulents,Echeveria has beautiful leaves and stunning flowers in a large variety of colors.,low
Echinacea (Coneflower),Perennials,"These flowers come in shades of white, yellow, orange, pink, purple, red and brown, depending on variety. The most common are the purple ones.",low
Echinops (Globe Thistle),Perennials,"The flowers are mostly blue, but you can also find them in white, purple and blue-grey. Their long stems are gray-green in color.",low
Emilia (Tassel Flower),Annuals,"The flowers come in shades of purple, red and orange.",low
Epimedium (Barrenwort; Bishop's hat; Horny Goat Weed),Perennials,"These flowers come in many stunning colors, including white, red, pink, purple, yellow and orange, as well as bi-colored varieties.",low
Epiphyllum (Orchid Cactus),Cactus - Succulents,"The flowers are usually white, sometimes with yellow or pink sepals. However, most Epiphyllums grown today are hybrids and may be red, purple, pink, orange and yellow.",medium
Eranthis (Winter Aconite),"Bulbs, Perennials","The flowers are yellow in most species, with some species being white flowered.",low
Eremurus (Foxtail Lily; Desert Candle),Perennials,"Flower clusters are covered with orange, pink, yellow and white blossoms.",low
Eryngium (Sea Holly),"Annuals, Perennials","Eryngiums are usually blue, purple, green or whitish.",low
Erysimum (Wallflower),"Annuals, Perennials, Shrubs","These flowers are usually yellow, but may also be red, orange and mauve.",low
Erythronium (Fawn Lily),"Bulbs, Perennials","The flowers come in shades of yellow, purple, pink, red and white.",low
Eschscholzia (Golden Poppy),"Annuals, Perennials",Their color ranges from yellow to orange.,low
Euphorbia (Spurge),"Annuals, Cactus - Succulents, Perennials, Shrubs, Trees",The bracts come in almost every color imaginable. The real flowers are tiny and usually yellow in color.,low
Eustoma (Lisianthus; Prairie Gentian),"Annuals, Perennials","The flowers come in white, cream, blue, purple, pink and lilac.",medium
Felicia (Blue Daisy; Marguerite Daisy),"Annuals, Perennials, Shrubs","The flowers are blue, white, lilac or purple. Most of them have yellow centers, with the exception of the Felicia heterophylla which is all-blue in color.",low
Forsythia (Golden Bell),Shrubs,The flowers are yellow in color.,low
Freesia (Freesias),"Bulbs, Perennials","Freesia comes in white, yellow, orange, red, pink, mauve, lavender and purple colors.",low
Fritillaria (Checkered Lily; Snakes Head; Crown Imperial),"Bulbs, Perennials","Fritillaria comes in variety of colors, from bright yellow to orange, green and deep red.",low
Fuchsia (Lady's eardrop),"Shrubs, Trees","Fuchsia develops white, yellow, orange, red and purple colored flowers, composed of red sepals and purple petals.",low
Gaillardia (Blanket Flower),"Annuals, Perennials","The flowers come in various shades of red, orange, yellow, purple and brown. The bicolor blooms are pretty intense.",low
Galanthus (Snowdrops),"Bulbs, Perennials","Unlike many other flowers, Galanthus only comes in one color - creamy white.",low
Gardenia (Gardenia),"Shrubs, Trees","The most of them are white (or a related color like ivory or cream), but some of them are yellow.",hard
Gazania (Treasure Flower),"Annuals, Perennials","The flowers come in shades of yellow, orange, pink, red and white. The colors of the petals are bright and unique.",low
Gentiana (Gentian),"Annuals, Perennials","Most of the species have beautiful, vivid blue flowers, but white, yellow, purple and red varieties are also available.",low
Geranium (Cranesbills),"Annuals, Perennials","The flowers come in shades of white, red, blue, purple and pink.",low
Gerbera (Gerbera),Perennials,"These flowers come in many different colors, except for blue.",low
Geum (Avens),Perennials,"Geum comes in various colors including white, yellow, orange, pink and red.",low
Gladiolus (Gladiola; Sword lily),"Bulbs, Perennials","The flowers range from white, yellow, pink and lavender to red, purple and even green.",low
Gloriosa (Flame Lily),"Annuals, Bulbs, Climbers, Perennials","The flowers come in shades of red, orange, pink and yellow.",medium
Gomphrena (Gomphrena),"Annuals, Perennials","The flowers come in various colors including white, yellow, pink, orange, red and purple.",low
Grevillea (Spider Flower; Silky Oak),"Shrubs, Trees","Grevillea may be red, yellow, orange, purple and white.",low
Gypsophila (Baby's Breath),"Annuals, Perennials",The plants have small white or pink flowers.,low
Hamamelis (Witch Hazel),"Shrubs, Trees",Hamamelis flowers range in color from deep red to yellow.,low
Helenium (Sneezeweed),"Annuals, Perennials","Helenium flowers come in shades of yellow, orange, red and brown.",medium
Helianthus (Sunflower),"Annuals, Perennials","Although yellow is the original color, Sunflowers also come in shades of cream, red, orange and purple that contrast with deep brown centers.",low
Heliconia (Lobster Claw; False Bird of Paradise),Perennials,"The colors of the flowers range in hues of red, orange, pink, yellow and green.",low
Helleborus (Hellebore; Christmas Rose),Perennials,"The flowers come in various colors, from purple to pink, green, yellow, white and even black.",low
Hibiscus (Rose mallow),"Annuals, Perennials, Shrubs, Trees","The flowers come in a variety of colors, from red, orange, pink and yellow to white, purple and blue.",low
Hippeastrum (Amaryllis),Bulbs,"Hippeastrum comes in red, pink, salmon, orange, white, yellow and pale green colors.",low
Hosta (Plantain Lily),Perennials,"These flowers are usually white, whitish with lavender lines or even purple.",low
Hoya (Wax Plant),"Climbers, Perennials, Shrubs","The flowers are mostly white, but are also available in shades of pink, red, purple, orange and green.",low
Hyacinthus (Hyacinth),Bulbs,"Hyacinth comes in many color varieties, such as purple, blue, white, yellow, red, pink and orange.",low
Hydrangea (Hortensia),"Climbers, Shrubs, Trees","The flowers come in shades of blue, purple, white, pink and red.",low
Hypericum (St. John’s Wort),"Annuals, Perennials, Shrubs, Trees",The flowers are generally yellow.,low
Hypoxis (Star Grass),Perennials,The flowers are bright yellow in color.,low
Hyssopus (Hyssop),"Perennials, Shrubs","The flowers are usually purple and blue, or rarely pink and white.",low
Iberis (Candytuft),"Annuals, Perennials, Shrubs","The flowers are usually white, but can also be pink or lilac.",medium
Impatiens (Jewelweed; Touch-me-not; Busy Lizzy),"Annuals, Perennials","These flowers are available in a variety of colors including blue, purple, orange, red, pink, white and yellow.",low
Ipomoea (Morning Glory; Kangkung),"Annuals, Climbers, Perennials, Shrubs, Trees","The flowers come in many colors including white, red, blue, purple and yellow.",low
Iris (Iris),Perennials,"Iris comes in a rainbow of colors including blue, purple, white, yellow, pink, orange, brown, red and black.",low
Ixora (Jungle Flame; Flame of the Woods),"Shrubs, Trees","Ixora comes in bright red, orange, pink, yellow and white colors. The red color is the most common color.",low
Jacaranda (Jacaranda),"Shrubs, Trees",These flowers come in shades of purple and blue.,low
Jasione (Jasione),"Annuals, Perennials","The flowers are blue or purple in color,",low
Jasminum (Jasmine),"Climbers, Shrubs",Most of the Jasmine species bear white or pale yellow flowers.,low
Justicia (Jacobinia),"Perennials, Shrubs","Justicia comes in shades of red, orange, pink, yellow, white and cream.",low
Kalanchoe (Kalanchoe),"Cactus - Succulents, Perennials, Shrubs","Kalanchoe comes in a variety of colors, including orange, pink, red, white and many variations thereof.",low
Kalmia (Spoonwood),Shrubs,"The flowers are usually pink, purple, lavender or white.",low
Kerria (Japanese kerria; Japanese rose),Shrubs,These flowers are bright yellow in color.,low
Kniphofia (Red Hot Pokers; Torch Lily; Tritoma),Perennials,"Kniphofia blooms in shades of red, orange, yellow and cream. They change color as the flower matures, which results in a bicolor look.",low
Kolkwitzia (Beauty Bush),Shrubs,"The flowers are soft pink to white, each with a yellow troat.",low
Kunzea (Kunzea),"Shrubs, Trees","Kunzea flowers come in various colors including white, yellow, pink, purple and red.",low
Lantana (Shrub Verbena),"Annuals, Perennials, Shrubs","Lantana comes in a rainbow of colors including red, orange, pink, lavender, yellow, white or a mixture of these and will often display different colors in the center and on the edges.",low
Lathyrus (Sweet Pea ),"Annuals, Climbers, Perennials","The flowers come in a wide variety of colors, including white, cream, yellow, red, scarlet, pink, salmon, magenta, purple, lavender and blue.",low
Lavandula (Lavender),"Herbs, Perennials, Shrubs","Lavender comes in a wide range of purple colors, but also can be found in white, pink and blue.",medium
Leontopodium (Edelweiss),Perennials,"This plant has small, yellow clustered florets.",low
Leucojum (Snowflake),"Bulbs, Perennials",Leucojum has white flowers with faint green tips.,low
Lewisia (Lewisia),Perennials,"The flowers come in shades of white, pink, purple, orange and red.",low
Liatris (Blazing Star; Gayfeather),Perennials,"The flowers come in shades of purple, lavender, pink, white, rose and violet.",low
Lilium (Lily),"Bulbs, Perennials","Lilies come in a large variety of colors and the most common are white, yellow, orange and red.",low
Limonium (Sea Lavender; Statice),"Annuals, Perennials, Shrubs","The flowers are blue, purple, pink, yellow or white.",low
Lobelia (Lobelia),"Annuals, Perennials, Shrubs","The flowers come in shades of blue, white, pink, red and purple.",low
Lonicera (Honeysuckle),"Climbers, Shrubs","The flowers come in shades of white, yellow, pink, orange and red.",low
Lupinus (Lupine; Lupin),"Annuals, Perennials","The flowers are usually blue or purple, but sometimes pink, yellow and white.",low
Lycoris (Spider Lily),"Bulbs, Perennials","The flowers come in shades of red, pink, orange, white and yellow.",low
Magnolia (Magnolia),"Shrubs, Trees","Magnolia produces white, purple, pink and yellow flowers, depending on variety.",low
Malva (Mallow),"Annuals, Perennials","The flowers are usually pink, purple and white.",low
Mandevilla (Dipladenia; Rocktrumpet),"Annuals, Climbers, Perennials","The flowers come in shades of red, pink, white and yellow.",medium
Mimosa (Mimosa),"Annuals, Perennials, Shrubs, Trees","The flowers come in shades of pink, purple and white.",medium
Monarda (Bee Balm; Bergamot),Perennials,"These flowers come in shades of red, pink, purple and white.",low
Muscari (Grape Hyacinth),Bulbs,"These flowers are commonly blue. However, the white, pink and yellow types can also be found.",low
Myosotis (Forget Me Not; Scorpion Grass),Perennials,"The flowers are usually blue, but may be pink or white, sometimes with a yellow center.",low
Myrtus (Myrtle),"Shrubs, Trees",The flowers are most commonly white.,low
Narcissus (Daffodil),"Bulbs, Perennials",These flowers are usually white and yellow.,low
Nelumbo (Lotus),Perennials,"Nelumbo nucifera has white or pink flowers, while Nelumbo lutea has yellow ones.",low
Nemesia (Nemesia),"Annuals, Perennials, Shrubs","These flowers come in shades of blue, purple, red, pink, orange, mauve, yellow, cream and white.",low
Nemophila (Baby Blue Eyes),Annuals,The flowers vary in color from a true blue to a definite purple.,low
Nepeta (Catmint; Catnip; Cataria),Perennials,"Nepeta comes in shades of blue, purple, white and even pink and yellow.",low
Nerine (Guernsey Lily),"Bulbs, Perennials","The flowers come in shades of pink, orange, red and white.",medium
Nerium (Oleander),"Shrubs, Trees","The flowers come in shades of red, purple, pink, yellow, cream and white.",low
Nigella (Love-in-a-mist; Devil-in-a-bush),Annuals,"The flowers are blue, white and even yellow and pink.",low
Obregonia (Artichoke Cactus),Cactus - Succulents,"The flower colors are usually white or slightly pink, with yellow stamens.",medium
Oenothera (Oenothera),"Annuals, Perennials","Oenothera produces yellow, pink and white flowers.",low
Opuntia (Prickly Pear),Cactus - Succulents,"These flowers are usually yellow, sometimes red and pink, but rarely white.",low
Ornithogalum (Star of Bethlehem),"Bulbs, Perennials","The flowers come in white, yellow and orange colors.",low
Osteospermum (African Daisy),"Annuals, Perennials, Shrubs","The flowers come in numerous colors and shades including blue, purple, mauve, pink, yellow, white and cream.",low
Oxalis (Wood Sorrel),"Annuals, Bulbs, Perennials","The flowers come in shades of yellow, pink, white and purple.",low
Paeonia (Peony),"Perennials, Shrubs","Peonies produce red, pink, purple, white and yellow flowers.",low
Papaver (Poppy),"Annuals, Perennials","The flowers bloom in a range of colors, from white, yellow, pink and orange to red and purple.",low
Passiflora (Passion Flower; Passion Vine),"Annuals, Climbers, Perennials, Shrubs, Trees","Though a wide range of colors exist, the most common are white, purple and blue.",medium
Pelargonium (Geranium),"Annuals, Cactus - Succulents, Perennials, Shrubs","The flowers come in shades of red, purple, orange, pink and white, with many bicolored combinations.",low
Penstemon (Beardtongue),Perennials,"Penstemon flowers come in shades of white, yellow, blue, red and purple.",low
Perovskia (Perovskia),"Perennials, Shrubs",The flowers come in shades of purple and blue.,low
Petunia (Petunia),"Annuals, Perennials","Petunias are available in almost all colors except for true blue. The most common colors are white, yellow, pink, red and purple.",low
Phacelia (Scorpionweed),"Annuals, Perennials",The flowers are most commonly seen in shades of purple and blue.,low
Phlox (Phlox),"Annuals, Perennials","There are many different color varieties available, such as white, yellow, pink, purple, red, lavender, rose, magenta.",medium
Platycodon (Balloon Flower; Chinese Bellflower; Japanese Bellflower),Perennials,"Platycodon come in purple, blue, pink and white.",low
Plumbago (Plumbago),"Annuals, Climbers, Perennials, Shrubs","The flowers come in a variety of colors, but the most common are blue and white.",low
Plumeria (Frangipani; Hawaiian Lei Flower),"Shrubs, Trees","These flowers can be found in shades of white, yellow, pink and red.",low
Polygonatum (Solomon's Seal),Perennials,"The flowers come in white, green or pink, in solid colors or in combinations.",low
Potentilla (Cinquefoil),"Annuals, Perennials, Shrubs","The flowers are usually yellow, but can also be white, purple, pink or red.",low
Primula (Primrose),Perennials,"These flowers come in a wide range of colors, from blue, purple, green and orange to pink, red, yellow and white.",low
Protea (Protea),"Shrubs, Trees","The flowers come in shades of white, purple, red, orange, yellow and green.",low
Prunus (Prunus),"Shrubs, Trees","Prunus flowers comes in shades of white, pink, purple and red.",low
Pulmonaria (Lungwort),Perennials,"The flowers come in shades of blue, purple, pink and white.",low
Quesnelia (Quesnelia),"Cactus - Succulents, Perennials","The flowers come in red, blue, pink and yellow colors.",low
Rafflesia (Rafflesia),,Rafflesia is reddish brown with white marks on its petals.,low
Ranunculus (Buttercup; Crowfoot; Spearwort),"Annuals, Bulbs, Perennials","The flowers are usually yellow, but may also be white, pink and red.",low
Rhododendron (Rhododendron),"Shrubs, Trees","Rhododendron blooms in various colors, from pure white to red, orange and pink to gold and purple.",low
Rondeletia (Rondeletia),"Shrubs, Trees","The flowers are white, yellow, pink and red, sometimes with yellow centers.",low
Rosa (Rose),"Climbers, Roses, Shrubs","Roses range in color from white and yellow to red, pink and purple.",medium
Rudbeckia (Coneflower),"Annuals, Perennials","Rudbeckias are mostly yellow, but also can be red and orange, with central cones that can be green, black and brown.",low
Salvia (Sage),"Annuals, Perennials, Shrubs","Salvia blooms in a range of colors, from traditional dark blue to light blue, red, pink, and white.",low
Sandersonia (Christmas Bells; Chinese Lantern Lily),"Climbers, Perennials",The flowers are orange or yellow.,low
Saxifraga (Saxifrage; Rockfoil),Perennials,"The flowers are usually white, but may be yellow, purple, pink and red.",low
Scabiosa (Scabious; Pincushion Flower),"Annuals, Perennials","These flowers come in different colors including blue, purple, white, yellow, pink and red.",low
Scilla (Squill),Bulbs,"Scilla comes in shades of blue, purple and white. The blue ones are very pretty, some of the best blues to be found among flowers.",low
Sedum (Stonecrop),"Annuals, Cactus - Succulents, Perennials, Shrubs","The flowers come in a rainbow of colors, from red, orange, pink and purple to yellow and white. The foliage can be found in different colors, too.",low
Solidago (Goldenrod),Perennials,"Goldenrods come in a bright, golden-yellow color.",low
Spiraea (Spirea),Shrubs,"The flowers come in shades of purple, pink, yellow, cream and white.",low
Strelitzia (Bird of Paradise; Crane Flower),"Perennials, Shrubs","The flowers are orange, red, yellow or even blue and purple.",low
Syringa (Lilac),"Shrubs, Trees","Although they get their common name from their most popular color, Lilacs can also be found in other colors such as blue, red, pink, white and yellow.",low
Tagetes (Marigold),"Annuals, Perennials, Shrubs","Tagetes comes in shades of yellow, orange and even white.",low
Tanacetum (Tanacetum),"Annuals, Perennials, Shrubs","The flowers are usually white or yellow, depending on species.",medium
Taraxacum (Dandelion),Perennials,"The flowers are usually bright yellow, but they can be darker or even white, such as Taraxacum albidum.",low
Tigridia (Tiger Flower; Mexican Shellflower),Bulbs,"The flowers may be red, yellow, white, cream, orange, scarlet, pink and mauve.",low
Torenia (Wishbone Flower; Bluewings; Clown Flower),Annuals,"The flowers come in shades of purple, blue, pink, yellow and white.",medium
Tradescantia (Spiderwort),Perennials,"The flowers come in shades of blue, purple, pink, red and white.",low
Tricyrtis (Toad Lily),Perennials,"The flowers come in shades of red, purple, white and yellow.",low
Trillium (Wake Robins; Birthroot),Perennials,"Flower color varies from red, pink, maroon and purple to yellow and white.",low
Trollius (Globe Flower),Perennials,"These beautiful flowers bloom in shades of yellow, orange and white.",low
Tropaeolum (Nasturtium),"Annuals, Perennials","Nasturtium comes in red, orange, yellow, purple and cream colors.",low
Tulipa (Tulip),"Annuals, Bulbs, Perennials",You will find Tulips in nearly every color and pattern.,low
Ulex (Gorse; Furze),Shrubs,The flowers are usually yellow in color.,low
Ursinia (African Daisy),"Annuals, Perennials","Ursinia has yellow, red or orange flowers.",low
Valeriana (Valerian),Perennials,"The flowers are white, pink or lavender.",low
Verbascum (Mullein),"Annuals, Perennials","These flowers are primarily bright yellow, but also white, red, purple and pink.",low
Verbena (Vervain),"Annuals, Perennials","The blooms come in shades of purple, red, pink and white.",low
Veronica (Speedwell),Perennials,"Veronica comes in shades of blue, purple, pink and white.",low
Veronicastrum (Veronicastrum),Perennials,"The flowers come in shades of white, purple and pink.",low
Vinca (Periwinkle),"Perennials, Shrubs","Vinca comes in shades of pink, purple, red and white.",low
Viola (Violet),"Annuals, Perennials, Shrubs","As their name suggests, many species are violet in color, but can also be blue, white, yellow and cream. Some blooms have two or even three colors.",low
Watsonia (Bugle Lily),"Bulbs, Perennials","The flowers come in shades of red, pink, orange, purple and white.",low
Weigela (Weigela),Shrubs,"The flowers come in shades of red, pink, white and yellow.",low
Wisteria (Wisteria),Climbers,"Wisteria comes in shades of white, blue, purple and pink.",hard
Xanthisma (Xanthisma),"Annuals, Perennials","The flowers are generally yellow in color, but there are also varieties that are white and purple.",low
Xeranthemum (Xeranthemum),Annuals,"These flowers come in shades of pink, purple and white.",low
Xerochrysum (Xerochrysum),"Annuals, Perennials, Shrubs","Its bracts are yellow, orange, purple, pink and red.",low
Xerophyllum (Xerophyllum),"Herbs, Perennials",Xerophyllum has unique cream-colored flowers.,low
Yucca (Yucca),"Cactus - Succulents, Shrubs, Trees","The Yucca plant has green, sword-like leaves and white or whitish flowers.",low
Zantedeschia (Calla Lily; Arum Lily),"Bulbs, Perennials","Zantedeschia is available in a multitude of colors including white, yellow, orange, pink, purple and even black.",low
Zephyranthes (Rain Lily; Fairy Lily),"Annuals, Bulbs, Perennials","The flowers may be yellow, pink and white.",medium
Zinnia (Zinnia),"Annuals, Perennials, Shrubs","These flowers are known for their vivid colors. They are often multi-colored and may be yellow, orange, white, red, pink and purple.",low
Zygopetalum (Zygo),"Annuals, Perennials","Zygopetalum has unusually colored flowers in shades of blue, purple, red and white.",medium
